,jobTitle,jobLink,companyName,companyLocation,Salary,jobMetaData,jobPosting
0,"Regional CDL A Truck Driver | Home Weekends | Bayport, MN",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-MNYOYlaJKEYytk0J1u3eyJj0erWAW0QpUAcooIrp1DLQE2MBpSpWnXF2WLhWVKeJQRfos4UDA86Y2dzd5X1O9puAdi2O5utK53umuG0kzzvsBGO9XVoFFfTDCr0nmn_xc4dj1Aqe8D4bhjj1shHU8kinJjpopdfLlCfSSDRcchB2NA0HtHFOBJ9niDkw0SWtqxkH_NOMzI8TMGhb4nrl2jV3DX8xb3wCDL92GC16dvsg60zyeC-1l53wRgBhHFDr-CMevNyP8dE9J2JS8cqlo16nWMa8QZcCqN6PonZOyrt9e9Lgbgup81-KxUahcu8bGF_PZMuwKk6axXMnTa54hiwxWnzjpHw9AjWIZaa0eWKsCk59UsO7cDk-jRpnUBQP61YN-Z2v_mHkXh5BqIekKvOpy9viMHBBHT4GU_XDN0S6aGtmcHSsxs2x3OhSE5-ZT1FYwrPSf0ZywyDg-gN386qCLjurYXwhU5ZkZGpbjAqMUVpmmF5zLjcDW9Jp3k31G6uWA-5TXu823yEBWDEmoan_PJif51F5XAdUbIkE2pLZdMHgkhMb-T7VtvDkZGpiPjxEWrIm06TJLG3y06DAAsrT7e45DpEdgfnMwOmKlUt7zcy1IfUl1CM7r7r1bnnLe7iAgliyPmXhXIWIk0xlc4PuJiB-5OA=&xkcb=SoDv6_M3FT6Ap_AEFT0LbzkdCdPP&p=0&fvj=1&vjs=3,Andersen Windows & Doors,"Bayport, MN 55003",$0.58 per mile,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Active Just posted
1,Truck Driver Class A - SLEEPER - HOME EVERY WEEKEND,https://www.indeed.com/rc/clk?jk=f6a6e816baa6913a&bb=5LEecj5pDWtHzguFyee8_Ymg-ukTYgtNr8vmIh3Ywl2EAYDrnoEdA_mEPHVV9XxDDX5ZoZRd_psAUQG3J1m8WyOSN0ejCVxIuplbx3Z7VIY%3D&xkcb=SoCv67M3FT6Ap_AEFT0KbzkdCdPP&fccid=6e72bdfcc43cd797&cmp=Pratt-Industries&ti=Truck+Driver&vjs=3,Pratt Industries,"Conyers, GA 30013",,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Today
2,"CDL drivers for Amazon, USPS, Fedex loads",https://www.indeed.com/rc/clk?jk=d8b3714a9e7b8ee0&bb=5LEecj5pDWtHzguFyee8_YkH6cBU55w5_QuK86hzw46NQUJFe_oDApR4Htly6poT4LVv3TTIVNcKD4BdGYidAEcuKagpIGBmxpKeMTi9E_0%3D&xkcb=SoAy67M3FT6Ap_AEFT0JbzkdCdPP&fccid=8a5fa24a3da90fca&cmp=Us-One-Trucking-corp&ti=Truck+Driver&vjs=3,Us One Trucking corp,"Lakeland, FL",,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Active 2 days ago
3,Box Truck Driver - Home Daily,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cy6RHzomYyX_-V1dWZNBMUOdeOk0HHQV_NUoDRkiCj-SXgsXX69aDrPqNCLLpafdHMRFQYnBkNc23Ln5CrVmvJXMvhtaIUSwlFmeIMWevLlUxx-xdtb4lky1Ef3Z3lj-CePJ-gGEdKR_9Nyo8IcyIoyyn21qSJeVSsu99DUZQ0fsAIPucxwhOM_T5LV8V3-7J-6njrjogZWu2cEA2bN1A1AvYbSgr_tTPf4eLtQ_mQ1nYwa-Ow7JyVIenUFieeMGSv6MEUV4LcyBYkU92WMa5QzJox2Ck70-OvhIBlMIVoYasy91cogz5rgmCBSeACR4HkRXXgoEEDI7EaUliMb4rmi_d1bmyWltox4yfrNr27kNW4UQ7eVOxtFL-AqLq206mUXLDSqxDRPDTHESzK8yoGftRCzUHeN4fAiBBC9uzVGREbwc0fpIeUKFNwJb2c6q-c6f6JFv1Nv4s__kjcsVTwPUZOf6LEJg3gQRuqT1uN1dcA10DmuwazvYWciP_zra2sxp_s2YEBPX0-uIBkmYJ_65m7HH7H1bWP3-obJiAMrYpquw_2rT7A-UMW8CEzuPwmzydvavHR8xo3i2a-uFVcaLy7-7ynYnqyqlZqLz-0dwRGVwtsMCcnfRWMdnZPIJ8EYRbGFWzzYySgKmuyqYxBN-LsABSooFNsqZVT4diUyg==&xkcb=SoBy6_M3FT6Ap_AEFT0IbzkdCdPP&p=3&fvj=1&vjs=3,Fenix Parts Inc,"Winchendon, MA",$18 - $25 an hour,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Active 2 days ago
4,CDL Class A Driver - local deliveries,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFHBXVbQgUW4elXzRqPZQXT1GA_RAACFRwjCk9hhp-HdQIiExz5ZXuBPQ-iG1ULRba7EfWbunmWm1VvjRxCw-Qg9cVJ2Z0-TElNo9PEbY7nSliFi0ExaiPgiHO9u8y6xZNLbGDOIR2nuDZ9MlDC2r5iIy0eLfJusBdyAmj0kfkTkz_fIWb164v4cBjhc1cxZNboxAl5uhYpPM_LqS5XUYvSFQUJMNYO2cNCPDS-zMMVjwzu-sCX4FMOALxWHqq-QeOgKrXHFcVfZFMGOdrNiYnJPvRzNi75PiaWyWMAgaly9MJ-0jCw-VcdkLhWiOPzukhN8e8-6rOcBOLqZ5mY5w16E-TIbK6uz2S22KKLHM0IPPoR5AX0Ry_IrmUF3FTdKbesmL5O_OdgrNeKTYaKkOq-1pfEwugujoR9C37adW_qFGPXDi7Z576nnqLYQDfTF8aQvRC2-yA2Ybl058Cj8dyA2_JRcq0ALFSN7b-JJNET5Nj8TMUku2ZH163igztHtazAsu5GBj0HTCdp7c3OzX1DINlmjiKGwkr_tWl0KwguPuC0KJ2z2FV9ff1fNSKbqW5YzfqBKPcF92mNTy_gmxr2uddkseJ4z2qZ9pNlrYw40vAECGqNiPX_tyPxWThG1dPj1BmbxkzjA==&xkcb=SoD86_M3FT6Ap_AEFT0PbzkdCdPP&p=4&fvj=1&vjs=3,JB Instant Lawn,"Redmond, WA",$30 - $32 an hour,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Active Just posted
5,CDL Class A Drivers,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfWn67YEAA2NYKKFU1PMpTQV_TCduDo0oNw6yLPDeCaVQ4X1Ue7DPnkvhznlhWYhHZ9Rty7XEX1CG53vbveR2OtZNNlRYVOfn7nAEbS0Rv9fRTGnjGyRJrRmM8cFrOyH-JpQdKATDCpp9vbfn-LrPJvPlYDpNUDlh3PMEwf83D4wAZMVyXTZ6FEy9mx_kpuFEouy8qY9SQrCV2EXYJkjsbLPxup5aSeg_hdft4E1I82EpD8dpQIlTglOZgFvRAMpEAz3r1yZIQIRqeVNTlf-pbLl7o1N8f86kRX4-ChhEesMud4J8--KP_TfgIimHAz4taIwzBx2InjgAInNkD8jEOFtiZ40zR2-uUjE2LAJNw_KYRcGVetNDym0OmxSEJeNc2mcJA9Ebin5gs09l193ZoFHU2S80I1oj8ci0X92S1PpTaW5M6AaNZyorWl9v_u2LJJLkQF3Zhqz3U-wY77FsL4KCP1tuQyXRWyoECuulMfDY-OD8lntXU_Ho72NeSd9r91XRMFAyWzQm8hRw2S6nFdgMcYv0kvOt9ueEovQldeltCHw2RhpcC7cRl0RTEdQ-V2elRreCTNv3T1P7CcwPpt3pgJQ-ZfBrwym_J1eZneHs0Ddy7VKt0&xkcb=SoBI6_M3FT6Ap_AEFT0ObzkdCdPP&p=5&fvj=1&vjs=3,EXT Global Transport LLC,"Memphis, TN","$1,500 - $2,000 a week","['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Active Just posted
6,Truck Driver,https://www.indeed.com/rc/clk?jk=d3fb7a79bea0eb3d&bb=5LEecj5pDWtHzguFyee8_c5W4Kef_9TDFbZEQCc55ktpkoG-OXOSBVNH8xcN4WpCqNSBRf9cSsOn3Tavb3QhO7KILCO8pq9MwdARpGP5Was%3D&xkcb=SoAh67M3FT6Ap_AEFT0NbzkdCdPP&fccid=f6172562f9aeed68&vjs=3,Stellantis,"Detroit, MI 48234 (Kranz Woods area)",,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Posted 30+ days ago
7,CDL Drivers (All Locations),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2jhPmFa_FqbszA4U2ZFskjSSD0t8mWNr8-CwMR__TFGORPw-PwHplBE_xAmVh8vQGPvd4400cG0geMJqf6SxwcqbHTUmIWQan5DeNB4gjkcLoIVov8jYTn3APxUhRMav0Vu7_nW_Y0vH9-c7j2Of4UvU8i_4ZzY06bIYZyz4Q84tMwx6aFdoqMqHiToLcVxne-AgTwbIoD07s0hltd7y5tId0pS4OZZZGSBPMJ9fakPWYnvHP3zyOlPjTEQoSJO5-oHoSOZUTMcd-4e-ApHx6nOTeYDhqVmGLIZk-VeMLVyIdafltQvjgfvoKS890e_sPa5eTaLXpMDaPA18bdyc0sbbY9QqaQf4ss53ScW3DQ24iM5UZ8_EWapTlNhgl3cTSoGWAfXsWTPzYcjXf1_lQhuHhsqvqYX27WH-Ug1FNBfWo6Jb7bllY1QX2n7VD7AQV4I0tzrOIkDaVA1k_A1-sx-yl2vZM3PY7LtwB09NOsNmF_mirZU_M0zAvesC7q9xp4I7OBzgN0KkTMs-5GE3tyyDoBWnugt7vjwruxVF2yqJKTnk3zvN3bLVukXxlb_2CntT9cM3l28fj5FSYDBJlYIoGwxbwyWQwLJ_sE8RItULcD_LQZNRVbKZr801HHX_KEKNREqOR01BeiDejhlpRTLxEyPMwfTHSYavY2unbcBecBCI8O7hMjCSNQkF7xCga7uh1edStKQ==&xkcb=SoBh6_M3FT6Ap_AEFT0MbzkdCdPP&p=7&fvj=0&vjs=3,Barney Trucking Inc,"Globe, AZ 85501",,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Posted 19 days ago
8,Truck Driver Class A CDL - OTR // NOW ACCEPTING SAP DRIVERS!!!,https://www.indeed.com/rc/clk?jk=2c30843435eecbf1&bb=5LEecj5pDWtHzguFyee8_XvhWxrWtE2YwIXgjRWpTZ-4-TcRKFSUyeIIVQmsGQ-HtTJTTnx4juF5lnOoJOX4p-7D2odRLmshfZBRNs9CsDI%3D&xkcb=SoB867M3FT6Ap_AEFT0DbzkdCdPP&fccid=84cb7b0e16c2f5ec&cmp=Selective-Motors%2C-Sales-%2526-Leasing&ti=Truck+Driver&vjs=3,United Carrier,"Victorville, CA",,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Active 1 day ago
9,"CDL A FedEx Line Haul Drivers $2,000-$2,400/weekly TEAM DRIVERS OTR",https://www.indeed.com/rc/clk?jk=01c1eed0f981dc99&bb=5LEecj5pDWtHzguFyee8_ep9FfzoSjDDSBdiCIYtdYCuO8cOITMLqjtr-sNroG6Cb_6dVcorKlWDPoio_qG82KlwkYHZIvlGXLSZIYV5gPM%3D&xkcb=SoDI67M3FT6Ap_AEFT0CbzkdCdPP&fccid=4150047abb849565&cmp=Regal-Logistics%2C-LLC&ti=Truck+Driver&vjs=3,Regal Express,"Woodbridge, NJ",,"['$0.58 per mile', 'Full-time', 'Overnight shift +3', 'Quarterly bonus', 'Extra stop pay', 'Tuition reimbursement', '$18 - $25 an hour', 'Full-time', 'Monday to Friday +4', 'Paid training', 'Paid time off', '$30 - $32 an hour', 'Full-time', 'Home daily +1', 'Paid time off', '$1,500 - $2,000 a week', 'Full-time +2', 'Signing bonus', 'Home daily +1', 'Paid orientation', 'Paid training', 'Paid time off', '$2,500 - $3,500 a week', 'Full-time', 'Day shift +2', 'Retention bonus', 'Yearly bonus', 'Performance bonus', '$65,000 - $75,000 a year', 'Full-time +1', 'Home daily +2', 'Performance bonus', 'Paid time off', 'From $25 an hour', 'Full-time +1', 'Overtime +3', 'Paid time off']",Active Today
