jobTitle,jobLink,companyName,companyLocation,Salary,jobMetaData,jobPosting
CDL A lease drivers Zero down NEW Freightliner Trucks!!! $2800-$4200,https://www.indeed.com/rc/clk?jk=d117b9c4dbf34328&bb=YDZHduCyomkR6gqEw30HWPcYmxDMw7AO7bGAiEWOTm8uMVrvTetClVkFdRDjnHRlHNjNa4jxZGuw77PTdwVd9_-hvufxNdtN-qmhEMVTs2g%3D&xkcb=SoBb67M3FeMsdMADB70JbzkdCdPP&fccid=7e781b0b94344591&cmp=Reserve-Truck-Lines-LTD&ti=Truck+Driver&vjs=3,PL Transportation,"Atlanta, GA",,"['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Today
"HIRING CLASS A CDL DRIVERS - WEEKLY SALARY $2,200 UP TO $3,200",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C9qx111wdj_a4D1WXSK2erryz6CobrzioASPPOxOJGFiq5pJWTLMldJBdHzrMbgQTPRiyspgRs61JkLkQcsOUGx4N513vW7YtDLFSgW4hXX06-34zVjKuTSGVj7iMVzTzdi6XJqWje39OVMZmxQp5IEMYFlnD6KzR7T8u-aDHKOIq3US2LhIeHYIvI4kl88AuhYc9_JrvnsYi2K-vCLaOUZyenDrCE_BpEncvEjhT4LTNX15OgzdyFnYRmBX3kVSkXH6JiXSUrIHMXHnfHeW0HPSjAs3UjBLja-n3qBTYtEwg1bXVk-myPWBfPhDywJD2bichXTfgMKMPxt6AH2fNTAI1mmAsM5Hy3qswOM36Oh7fd3oH6t-VVdO_CFqUOqAh3p5t-BmLfVrFf05Yp3zqEV_XRuTWB2stlzB19xkP6H5VHSrnEdC7hgroQ8bm5XNNGm05Hp8bB9uC8smIa5DX_2pO8sgdy_3Dx9qwHBtZvqnVtOAenwBjJzyvC2IXiIoj0RjHEXT9aQkzHg_0AfEcDGEi1GlYjRYcXHgThdhnjgfjScDrMOwxGUChn6ueXJ31RTtbAdzzaXI2Cvu0NW1MLNbE3Nnbn-D5Cpv9s69g-5URwLqQxNTw8TiAY4KiIvigQSKCJomJFhcrQva6EGEuid2Dvln-HeVc=&xkcb=SoAb6_M3FeMsdMADB70IbzkdCdPP&p=1&fvj=1&vjs=3,Fortis Transportation Inc,"Chicago, IL","$2,200 - $3,500 a week","['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Active Just posted
Florida Truck Drivers Wanted- Class A CDL- OTR / LOCAL,https://www.indeed.com/rc/clk?jk=d4659bb7cb20707d&bb=YDZHduCyomkR6gqEw30HWIy2aIOLuHOcUCj69S9mtHQ_XRJzdd8UDYCYAfQXoqvWWWKg1O4OvUXJHeQDFSgWiaU1HBxOc3BCuybtdY_O1v0%3D&xkcb=SoBh67M3FeMsdMADB70PbzkdCdPP&fccid=0bb92bc5459d9a7f&cmp=Express-Shipping-USA&ti=Truck+Driver&vjs=3,Express Shipping USA,"Daytona Beach, FL 32117",,"['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Active 6 days ago
Class A Driver / Contractor,https://www.indeed.com/rc/clk?jk=10ba33bd9db36c53&bb=YDZHduCyomkR6gqEw30HWP2hHzbK5Lq9g65lcGQAW6UGdR3SAo_fznumpZKgS_n_GEI2KZXTEbGtprC2nZLPtii_kpDWkQz2abR3INiYPsk%3D&xkcb=SoDV67M3FeMsdMADB70ObzkdCdPP&fccid=b6c314594e937196&cmp=Austin-Trucking-by-way-of-New-Line-Transport&ti=Truck+Driver&vjs=3,Austin Trucking,"Pembroke Pines, FL",,"['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Active 5 days ago
We have the Immediate need for CDL-A drivers,https://www.indeed.com/rc/clk?jk=713b956f93c67c1d&bb=YDZHduCyomkR6gqEw30HWC62qwmrMm4n0opzrUBTaSzmsiWNlYvVD8bOKC8PGEGoLHvyG1ULCyMoSijDQlMezGOGMoUuQNOsMr0_YbV69S8%3D&xkcb=SoBI67M3FeMsdMADB70NbzkdCdPP&fccid=006fd34355d77a1c&cmp=Tank-Drivers-Unlimited&ti=Truck+Driver&vjs=3,Tank Drivers Unlimited,"Eau Claire, WI",,"['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Today
Truck Driver Class A CDL,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVbvIQQQlk6wvDrMbjZnpYj3TwUMS49cRlyDDxC8DCyNXCxi4GcUs2oS7vRuC6Ix8OvZgsj-Z8RnfWTzv3ag_78Lc3w3_ya8seLAgnVZEXkHGKPnyUtvDZxWoNUHrQc4UjKmph6bELCHvCdsl2Q-InVVWINiUMvG-MyHJyEB-8hJ1qF5rTJ3jsTh3PT9auhkDW23XyytTQA9pbJLWwj-jcQ8apZ_uZadxW4yxsgbNN0kr4WUuZk96hXuxkaaXTi0zQguawTaUqOTQyrwVqhjT3uchsQaYlCI8qpm4p1NKnH40pUfoISuytMBsrspTHuVpSI-BcTDogcvirpczvgif7qOGDVSNpjyr2Vf0hAk1YqrxT_In8tXpAXDkQA8LvHThnqHJOYHVYMhCXNIuH9Evj-svZyuSuMVONAB7iJFJt3HihyY5kIN3zUOWY_FHJaBuzi_ZzkeEzhnIs6uu2h51-EXDUwRsbpWKnLSq3uua_WLKHS52D1yMJWK_VA15iltxntSh_zCexzMI7IahHvdm-7pQpn1e6Rqt2OUsPyF8XhNNxHuNuYJYhDaFYOcluAjLKd4cD26FFkYXVCuCby4wJdgeq94kOP0lP9aZdRmtOaXB2Fes5DeYEKAfOne5gZTQ=&xkcb=SoAI6_M3FeMsdMADB70MbzkdCdPP&p=5&fvj=1&vjs=3,Michaletz Trucking Inc,"Saint Paul, MN","$74,902 - $86,527 a year","['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Active Today
CDL Class A OTR Driver,https://www.indeed.com/rc/clk?jk=75f3331f3782c224&bb=YDZHduCyomkR6gqEw30HWB0VL18d3bU3hreOqxdzdTKt-O9ayb2Jn8iii98lAxuS92FBCgdWW3T2bgEtSTcL40ulCasmtmR2wwuATaWKqmw%3D&xkcb=SoAV67M3FeMsdMADB70DbzkdCdPP&fccid=7eba98434c1034bc&cmp=Austin--Corps&ti=Truck+Driver&vjs=3,Eastern Freight Systems,"Tunkhannock, PA 18657",,"['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Today
OTR CDL-A Truck Driver,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C01-08pTENKhbDyIWk_so4lasZrkPvmDXfvHGScG_MX2omHs4tNVqbayMd285Ej0a84a0e7_8xfsn5k5XlAOYWSlu-rFd4dbZTSUHA2MERWLYg2J2c-3jbbqaOXWHxlTAVttLQhfw1pm5nzAKW3dkdvGQZe-YfX1wAZ1EXO0105pnj3I3eiRg6BSDs4nM7-e4mhY9QeMeZLhft6PIdhMEz9ejHXzA8asZZIK3f6wF5Nl4ubMYqiEmS3ymyTKHFNMX7lrKwz50VxSeJP6aZ4wwSP6VWW4MdOtLiEv2XXmLm0skmtuAxXFxFkTLM8G2-VKMuhn1dLZMHa4h7iAQDAMChahw90ZyPSuurOoYbR4sxsmcZiKVfOhUSzFyER4flJCc8xqmfDTMapsNyOsDULYge3SwqTG03W15KN_p0_4jChiEuB5y2XmRfdLGmWKWxnzjup1A5bt4vpwC2NQQ9Xc1aVXi_I7n0J6wGsn8zS1jm77EkNXUMli8gCfmLYoRct8uC6vTQFnyvYJMZiebKImzky2VMjXddshGTlpib2OI5UUMaEYQtj2eLTWBjR0X0b68tkdanRcIML9h-YdMwuQWQ_1JH3UBKG_hk46bJJVsIWVXqRCbR5H1KNzFozPN_HGDuSbluEItImb1CC4TAIpJuOV9ITfJ3pqmJOOKVls7dyGWJheq7YA9WUrb_HpmUYeV9ncC2CNng6_rVgKZZagEmKd2MZtJMomaXotloFKnfB3kjtlWUYO-Nj1vr3WoEbrxof7RNDyMwg3wNh6WFg6QkVOr-n3hct_oHaNcQCd-faxRyJ3V-TGMrapHaIqxSUMGG1v8WSNyfVIS_bhv1p-GjzTcMTIOyfqmtsd9R8IHAgMrpuYUnYswpX_58J3OsXON-xZdhpdjs6Sqgg8XUe_5SMV4eNo0HgO3mdIMa4p42zIQrf7-TgZmkdkGYPf4pALYW9eQFJu_Ro-pUy51_7pRDPO8rYSGFy1zXV3ZgCxOa_Wv6cNY4N228SQuDpO6xUIqRwlllwhbhUg==&xkcb=SoBV6_M3FeMsdMADB70CbzkdCdPP&p=7&fvj=0&vjs=3,Marten Transport,"Corsicana, TX","$72,000 a year","['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Posted 19 days ago
Class A CDL Team Drivers,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMidA0tc1ajRJY36RAlP0dO7a-ugxFMZcvdKzxxrYiBgdkNy8RT71ZgJVL-kMUGIOC9moA1b1QUlv3-6zVFLMQ76Ip8NcwZoV-7voQhfOEwfnzP2kMjIyFMcHOUW2WBEX7nSr_TmIe-BVwGEfyQk3BoUJI5iNmx8f0Il7g3k00mCGQoCBukUUXJyJAzLGFFMt2vlUbSVQbKAt31ji0kiTR3D-y3ks4ZFEdYpoB4SDoFe-ozlmjjFUZfGtp2kjvOBR-2MvKVFzDty_6Kb19vOn7FRTKx8wO_zTdZHB6j82bKZdeaMPZu86lBx_anwCgAIJctwmbfmDRFbLeEEgei0_xzNxYq0RokrB0akN3WpNO8RTwJGlTDpYpdcDazkk11UFtxyo0JbG5imX39MiytUQ7bnt4Dhc_KIKxub7F0AcF3MqF49rvlP7vLG48H8TooUsJmNGVxqOccRoB8ZcXDFMgicc65o2_4CwJw-606EWsn_flFEfuX1LijoRTpNuGl1SSb6bj4ii7LIEXbpcefVex2hJ5gAdJZFhopNFj18G000WnkFS61R_gNSyG0wpoFn-hIM0RY__CzlqKZ0BXBZHjTabpcZag1j8zoNU4q91YAsAN7HOLeTVEXPhU--twGjw=&xkcb=SoDI6_M3FeMsdMADB70BbzkdCdPP&p=8&fvj=1&vjs=3,The Apodaca Group Logistics,"Salt Lake City, UT",From $0.70 per mile,"['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Active 8 days ago
CDL CLASS A VAN/REEFER SAP DRIVERS NEEDED / 45CPM,https://www.indeed.com/rc/clk?jk=cb97414862e104c5&bb=YDZHduCyomkR6gqEw30HWLvwI-_163rrZSe_sZP4NS3JvUeP91QXR0iuqaL-TP--Te_RBb1AV8Z40BVftF0CKdnwV1YlqnAAD3C_-yL-0Fk%3D&xkcb=SoCI67M3FeMsdMADB70AbzkdCdPP&fccid=0c58f79bad5e4e1f&cmp=Semi-Transport-Inc&ti=Truck+Driver&vjs=3,semi transport inc,"Birmingham, AL",,"['$2,200 - $3,500 a week', 'Full-time', 'Signing bonus', 'Performance bonus', 'Extra stop pay', '$74,902 - $86,527 a year', 'Full-time', 'Home time +1', 'Paid time off', '$72,000 a year', 'Full-time', 'Home time', 'Pet rider program', 'Paid time off', 'From $0.70 per mile', 'Full-time', 'Home time +1', 'Paid training', 'Paid time off', '$135,000 a year', 'Full-time +2', 'Yearly bonus', 'Performance bonus', 'Extra stop pay']",Active 2 days ago
